facility_name,facility_id,facility_type,street1,street2,city,state,postal_code,country,latitude,longitude,phone,contact,url,begin_date,end_date,begin_time,end_time,eligibility,documents,cost,currency_code,notes,file_start_date,file_end_date
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-10-01,2013-10-04,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-10-07,2013-10-11,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-10-14,2013-10-18,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-10-21,2013-10-25,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-10-28,2013-11-01,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-11-04,2013-11-08,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-11-11,2013-11-15,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-11-18,2013-11-22,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-11-25,2013-11-29,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-12-02,2013-12-06,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-12-09,2013-12-13,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-12-16,2013-12-20,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-12-23,2013-12-27,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2013-12-30,2014-01-03,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-01-06,2014-01-10,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-01-13,2014-01-17,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-01-20,2014-01-24,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-01-27,2014-01-31,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-02-03,2014-02-07,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
Health Center #2,2,District Health Center,1720 S. Broad Street,,Philadelphia,Pennsylvania,19145,US,39.9290454865666,-75.1696030642965,215-685-1803,,http://www.phila.gov/health//AmbulatoryHealth/hc2.html,2014-02-10,2014-02-14,09:00:00-0500,11:00:00-0500,Must be a resident of Philadelphia,"Bring proof of identity, proof of Philadelphia residency, and insurance card (if applicable)",0.00,USD,,2013-10-01,2014-03-31
